Peptide,LFC,ID,Gene
ACM1_421_433,0.48645953662084374,P11229,CHRM1
ACM1_444_456,0.21193641655115592,P11229,CHRM1
ACM4_456_468,0.30941598251288305,P08173,CHRM4
ADDB_706_718,0.2551962785655624,P35612,ADD2
BAD_93_105,0.3446837658825128,Q92934,BAD
C1R_201_213,-0.6895514019983557,P00736,C1R
CA2D1_494_506,0.4123175318179646,P54289,CACNA2D1
CD27_212_224,0.46862641397664095,P26842,CD27
ESR1_160_172,0.2628691446132212,P03372,ESR1
H2B1B_ 27_40,0.08803654943496397,P33778,H2BC3
KAPCG_192_206,0.37102855749998653,P22612,PRKACG
KCNA2_442_454,0.24207698697666125,P16389,KCNA2
KS6A1_374_386,0.2960985451731428,Q15418,RPS6KA1
MARCS_152_164,0.7201610510113401,P29966,MARCKS
MARCS_160_172,0.3832464323637641,P29966,MARCKS
MBP_222_234,0.7115959392521738,P02686,MBP
MP2K1_287_299,0.2155916178923043,Q02750,MAP2K1
MPIP1_172_184,0.18724245998671665,P30304,CDC25A
MPIP3_208_220,0.8672974625138865,P30307,CDC25C
NEK2_172_184,0.5712659259409172,P51955,NEK2
NR4A1_344_356,0.33295842327416914,P22736,NR4A1
P53_308_323,0.13583937834234128,P04637,TP53
PPR1A_28_40,0.10799440105834002,Q13522,PPP1R1A
RAP1B_172_184,0.22293023126700184,P61224,RAP1B
RBL2_655_667,0.3908368859699509,Q08999,RBL2
RB_242_254,-0.12329800640371325,P06400,RB1
RB_350_362,0.6299933317735098,P06400,RB1
ACM5_494_506,0.4787024567990503,P08912,CHRM5
ACM5_498_510,0.2781161215183685,P08912,CHRM5
ADDB_696_708,-0.284729476933113,P35612,ADD2
ANDR_785_797,0.22656849688007696,P10275,AR
ANXA1_209_221,0.38329520991323207,P04083,ANXA1
BAD_69_81,0.49406026900710653,Q92934,BAD
BCKD_45_57,0.35781836992595206,O14874,BCKDK
CDC2_154_169,-0.7247353053807934,P06493,CDK1
CDK7_163_175,0.7861466439816507,P50613,CDK7
CENPA_1_14,0.14338847239022456,P49450,CENPA
COF1_17_29,0.7317870454668673,P23528,CFL1
DCX_49_61,-0.3612336318218947,O43602,DCX
ERBB2_679_691,0.06710718712593433,P04626,ERBB2
ERF_519_531,0.7332036753700075,P50548,ERF
FIBA_569_581,0.2819201227231769,P02671,FGA
FOXO3_25_37,0.14978316810539294,O43524,FOXO3
FRAP_2443_2455,0.28044996775276765,P42345,MTOR
GPR6_349_361,0.3718909851979504,P46095,GPR6
GSUB_61_73,0.12760845724428993,O96001,PPP1R17
GYS2_1_13,0.2705725101881997,P54840,GYS2
H32_3_18,-0.1578361960786907,Q71DI3,H3C13
H32_3_18,-0.1578361960786907,Q71DI3,H3C14
H32_3_18,-0.1578361960786907,Q71DI3,H3C15
IF4E_203_215,-0.2007875993373469,P06730,EIF4E
K6PL_766_778,0.17987773755997516,P17858,PFKL
KCC2G_278_289,0.5833186712462952,Q13555,CAMK2G
KCNA3_461_473,0.3263381706987367,P22001,KCNA3
KCNB1_489_501,0.8583019149466882,Q14721,KCNB1
NEK3_158_170,0.6790280006793123,P51956,NEK3
P53_12_24,0.9490314022204358,P04637,TP53
PDE5A_95_107,0.8218727305127889,O76074,PDE5A
PP2AB_297_309,0.7105749993604009,P62714,PPP2CB
RAF1_253_265,0.2591665883940806,P04049,RAF1
RB_774_786,0.2152199991755861,P06400,RB1
RB_803_815,0.38994651831601335,P06400,RB1
VASP_271_283,0.3218949836546052,P50552,VASP
